team,venue,matches_played,matches_won,win_percentage
Chennai Super Kings,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,4,4,100.0
Chennai Super Kings,De Beers Diamond Oval,2,2,100.0
Chennai Super Kings,Brabourne Stadium,2,2,100.0
Chennai Super Kings,"Himachal Pradesh Cricket Association Stadium, Dharamsala",2,2,100.0
Chennai Super Kings,"Eden Gardens, Kolkata",2,2,100.0
Chennai Super Kings,ACA-VDCA Stadium,1,1,100.0
Chennai Super Kings,St George's Park,4,4,100.0
Chennai Super Kings,Buffalo Park,2,2,100.0
Chennai Super Kings,Feroz Shah Kotla Ground,1,1,100.0
Chennai Super Kings,Maharashtra Cricket Association Stadium,18,15,83.33
Chennai Super Kings,MA Chidambaram Stadium,18,14,77.78
Chennai Super Kings,Feroz Shah Kotla,13,10,76.92
Chennai Super Kings,Dr DY Patil Sports Academy,8,6,75.0
Chennai Super Kings,"Dr DY Patil Sports Academy, Mumbai",8,6,75.0
Chennai Super Kings,M. A. Chidambaram Stadium,8,6,75.0
Chennai Super Kings,"Punjab Cricket Association Stadium, Mohali",8,6,75.0
Chennai Super Kings,"Rajiv Gandhi International Stadium, Uppal",7,5,71.43
Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",94,67,71.28
Chennai Super Kings,"Arun Jaitley Stadium, Delhi",6,4,66.67
Chennai Super Kings,SuperSport Park,6,4,66.67
Chennai Super Kings,Dubai International Cricket Stadium,28,18,64.29
Chennai Super Kings,JSCA International Stadium Complex,10,6,60.0
Chennai Super Kings,M Chinnaswamy Stadium,15,9,60.0
Chennai Super Kings,"MA Chidambaram Stadium, Chepauk, Chennai",40,22,55.0
Chennai Super Kings,Wankhede Stadium,32,17,53.13
Chennai Super Kings,Arun Jaitley Stadium,4,2,50.0
Chennai Super Kings,"Wankhede Stadium, Mumbai",24,12,50.0
Chennai Super Kings,Himachal Pradesh Cricket Association Stadium,4,2,50.0
Chennai Super Kings,Subrata Roy Sahara Stadium,4,2,50.0
Chennai Super Kings,Sheikh Zayed Stadium,12,6,50.0
Chennai Super Kings,"Zayed Cricket Stadium, Abu Dhabi",4,2,50.0
Chennai Super Kings,New Wanderers Stadium,4,2,50.0
Chennai Super Kings,M.Chinnaswamy Stadium,4,2,50.0
Chennai Super Kings,"M Chinnaswamy Stadium, Bengaluru",4,2,50.0
Chennai Super Kings,Sharjah Cricket Stadium,12,6,50.0
Chennai Super Kings,Sawai Mansingh Stadium,14,7,50.0
Chennai Super Kings,Eden Gardens,24,11,45.83
Chennai Super Kings,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",5,2,40.0
Chennai Super Kings,Rajiv Gandhi International Stadium,6,2,33.33
Chennai Super Kings,"Narendra Modi Stadium, Ahmedabad",6,2,33.33
Chennai Super Kings,"Maharashtra Cricket Association Stadium, Pune",6,2,33.33
Chennai Super Kings,Kingsmead,8,2,25.0
Chennai Super Kings,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2,0,0.0
Chennai Super Kings,Rajiv Gandhi Intl. Cricket Stadium,2,0,0.0
Chennai Super Kings,IS Bindra Stadium,1,0,0.0
Chennai Super Kings,Shaheed Veer Narayan Singh International Stadium,2,0,0.0
Chennai Super Kings,M. Chinnaswamy Stadium,1,0,0.0
Chennai Super Kings,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",2,0,0.0
Chennai Super Kings,"Punjab Cricket Association IS Bindra Stadium, Mohali",1,0,0.0
Chennai Super Kings,"Barsapara Cricket Stadium, Guwahati",2,0,0.0
Chennai Super Kings,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",2,0,0.0
Chennai Super Kings,Nehru Stadium,2,0,0.0
Chennai Super Kings,"Sardar Patel Stadium, Motera",4,0,0.0
Chennai Super Kings,Newlands,2,0,0.0
Chennai Super Kings,Punjab Cricket Association IS Bindra Stadium,4,0,0.0
Chennai Super Kings,"Brabourne Stadium, Mumbai",8,0,0.0
Chennai Super Kings,"Vidarbha Cricket Association Stadium, Jamtha",2,0,0.0
Chennai Super Kings,"Sawai Mansingh Stadium, Jaipur",2,0,0.0
Chennai Super Kings,Barabati Stadium,2,0,0.0
Deccan Chargers,Himachal Pradesh Cricket Association Stadium,4,4,100.0
Deccan Chargers,Subrata Roy Sahara Stadium,2,2,100.0
Deccan Chargers,Nehru Stadium,2,2,100.0
Deccan Chargers,Newlands,4,4,100.0
Deccan Chargers,Barabati Stadium,8,6,75.0
Deccan Chargers,New Wanderers Stadium,6,4,66.67
Deccan Chargers,Kingsmead,6,4,66.67
Deccan Chargers,"Vidarbha Cricket Association Stadium, Jamtha",6,4,66.67
